collision_type,long,lat,neighbourhood,num_of_collisions
Fail to Remain,-79.5214595468828,43.7268585789337,Oakdale-Beverley Heights (154),842
Property Damage,-79.3386586769563,43.6837040356074,Danforth (66),381
Fail to Remain,-79.5079268073917,43.7592774494367,Glenfield-Jane Heights (25),958
Personal Injury,-79.5434034757898,43.6977782630265,Kingsview Village-The Westway (6),462
Property Damage,-79.5151248248268,43.7470881449389,Glenfield-Jane Heights (25),958
Property Damage,-79.4237945282339,43.6702653939817,Dovercourt Village (172),539
Personal Injury,-79.3867844299272,43.670220211821,Church-Wellesley (167),488
Personal Injury,-79.3640197608517,43.6545529084044,Moss Park (73),1186
Property Damage,-79.3470416798389,43.7558055672475,Banbury-Don Mills (42),1218
Property Damage,-79.5096034627165,43.7248876080569,Oakdale-Beverley Heights (154),842
Property Damage,-79.4021916287299,43.7250955698516,Lawrence Park South (103),695
Personal Injury,-79.3026415170411,43.7247168786578,Clairlea-Birchmount (120),1510
Fail to Remain,-79.2872006744469,43.828301311387,Milliken (130),1425
Property Damage,-79.3898979419703,43.6778473517882,Annex (95),1286
Fail to Remain,-79.2112191969068,43.8028169413086,Malvern East (146),847
Property Damage,-79.4255582611436,43.7009863033104,Forest Hill South (101),733
Fail to Remain,-79.3704035380653,43.6702521690599,North St.James Town (74),308
Fail to Remain,-79.265057481025,43.7530001549447,Bendale-Glen Andrew (156),829
Personal Injury,-79.393136207421,43.6444372405729,Wellington Place (164),1146
Fail to Remain,-79.4547473323248,43.7140806672905,Yorkdale-Glen Park (31),1207
Property Damage,-79.293827388906,43.8181120288828,Milliken (130),1425
Property Damage,-79.539010886805,43.6798289830396,Edenbridge-Humber Valley (9),526
Property Damage,-79.2151788685717,43.7927983764388,Morningside (135),475
Fail to Remain,-79.3941383466116,43.6880768888326,Rosedale-Moore Park (98),1190
Personal Injury,-79.5883969179049,43.7026179847489,West Humber-Clairville (1),2728
Property Damage,-79.4767476838745,43.681602842453,Rockcliffe-Smythe (111),825
Fail to Remain,-79.3578416454623,43.7825839788684,Don Valley Village (47),655
Property Damage,-79.2794542892007,43.7612921978828,Dorset Park (126),1208
Property Damage,-79.3127754374242,43.6856787420454,East End-Danforth (62),896
Property Damage,-79.4174760957973,43.6810456634759,Casa Loma (96),586
Property Damage,-79.3941383466116,43.6880768888326,Rosedale-Moore Park (98),1190
Fail to Remain,-79.3200946145948,43.799482998962,L'Amoreaux West (147),520
Fail to Remain,-79.4107128749774,43.6638240487208,University (79),592
Fail to Remain,-79.4040005141327,43.7319686663795,Lawrence Park North (105),546
Property Damage,-79.3185877059758,43.7780179236502,L'Amoreaux West (147),520
